country,lat,lon,gdpMAP,Code,,,gdpRaw,,,
Afghanistan,33.93911,67.709953,8,1,,,569.5779229,,max,168146.0153
Angola,-11.202692,17.873887,45,1,,,3695.793748,,min,300.6765569
Albania,41.153332,20.168331,48,1,,,3934.895394,,thre,83.79697391
Andorra,42.506285,1.521801,431,1,,,36038.2676,,,
Arab World,33.82367,-117.960126,78,1,,,6435.525509,,,
United Arab Emirates,23.424076,53.847818,468,1,,,39101.74689,,,
Argentina,-38.416097,-63.616672,162,1,,,13467.10236,,,
Armenia,40.069099,45.038189,44,1,,,3617.935746,,,
American Samoa,-14.270972,-170.132217,143,1,,,11865.96323,,,
Antigua and Barbuda,17.060816,-61.796428,164,1,,,13659.14791,,,
Australia,-25.274398,133.775136,674,1,,,56408.34043,,,
Austria,47.516231,14.550072,529,1,,,44255.58336,,,
Azerbaijan,40.143105,47.576927,67,1,,,5500.310382,,,
Burundi,-3.373056,29.918886,5,1,,,300.6765569,,,
Belgium,50.503887,4.469936,483,1,,,40375.38864,,,
Benin,9.30769,2.315834,10,1,,,783.947091,,,
Burkina Faso,12.238333,-1.561593,8,1,,,575.3144542,,,
Bangladesh,23.684994,90.356331,15,1,,,1210.158769,,,
Bulgaria,42.733883,25.48583,84,1,,,6993.47736,,,
Bahrain,26.0667,50.5577,272,1,,,22688.87824,,,
"Bahamas, The",25.03428,-77.39628,348,1,,,29056.09066,,,
Bosnia and Herzegovina,43.915886,17.679076,56,1,,,4584.242548,,,
Belarus,53.709807,27.953389,72,1,,,5949.106307,,,
Belize,17.189877,-88.49765,59,1,,,4849.997495,,,
Bolivia,-16.290154,-63.588653,38,1,,,3077.026199,,,
Brazil,-14.235004,-51.92528,106,1,,,8757.206202,,,
Barbados,13.193887,-59.543198,193,1,,,16129.04928,,,
Brunei Darussalam,4.535277,114.727669,371,1,,,30967.89051,,,
Bhutan,27.514162,90.433601,32,1,,,2615.31022,,,
Botswana,-22.328474,24.684866,79,1,,,6532.044677,,,
Central African Republic,6.611111,20.939444,5,1,,,348.381417,,,
Canada,56.130366,-106.346771,518,1,,,43335.15911,,,
Central Europe and the Baltics,54.5259614,15.2551187,150,1,,,12450.13342,,,
Switzerland,46.818188,8.227512,980,1,,,82016.02131,,,
Chile,-35.675147,-71.542969,164,1,,,13653.2264,,,
China,35.86166,104.195397,97,1,,,8069.213024,,,
Cote d'Ivoire,7.539989,-5.54708,18,1,,,1434.326615,,,
Cameroon,7.369722,12.354722,17,1,,,1353.92449,,,
"Congo, Dem. Rep.",-4.038333,21.758664,7,1,,,474.9360481,,,
"Congo, Rep.",-0.228021,15.827659,21,1,,,1712.121146,,,
Colombia,4.570868,-74.297333,73,1,,,6044.525655,,,
Comoros,-11.6455,43.3333,10,1,,,727.6463868,,,
Cabo Verde,16.5388,-23.0418,36,1,,,2954.119467,,,
Costa Rica,9.748917,-83.753428,137,1,,,11406.36273,,,
Cuba,21.521757,-77.781167,92,1,,,7602.261218,,,
Cyprus,35.126413,33.429859,278,1,,,23212.2247,,,
Czech Republic,49.817492,15.472962,212,1,,,17715.61685,,,
Germany,51.165691,10.451526,494,1,,,41323.9215,,,
Djibouti,11.825138,42.590275,23,1,,,1862.167274,,,
Dominica,15.414999,-61.370976,88,1,,,7313.849352,,,
Denmark,56.26392,9.501785,634,1,,,53012.99658,,,
Dominican Republic,18.735693,-70.162651,78,1,,,6468.471648,,,
Algeria,28.033886,1.659626,51,1,,,4160.220067,,,
Ecuador,-1.831239,-78.183406,74,1,,,6150.155955,,,
"Egypt, Arab Rep.",26.820553,30.802498,43,1,,,3547.713012,,,
Spain,40.463667,-3.74922,309,1,,,25789.51955,,,
Estonia,58.595272,25.0136071,206,1,,,17155.87418,,,
Ethiopia,9.145,40.489673,9,1,,,645.4650067,,,
Finland,61.92411,25.7481511,507,1,,,42419.56557,,,
Fiji,-17.713371,178.065032,60,1,,,4921.950723,,,
France,46.227638,2.213749,437,1,,,36526.77011,,,
Faroe Islands,61.892635,-6.9118061,605,1,,,50581.96849,,,
"Micronesia, Fed. Sts.",7.425554,150.550812,37,1,,,3018.008675,,,
Gabon,-0.803689,11.609444,89,1,,,7388.984144,,,
United Kingdom,55.378051,-3.435973,530,1,,,44305.55463,,,
Georgia,32.1656221,-82.9000751,46,1,,,3764.640912,,,
Ghana,7.946527,-1.023194,17,1,,,1361.113905,,,
Guinea,9.945587,-9.696645,10,1,,,725.0646897,,,
"Gambia, The",13.443182,-15.310139,6,1,,,458.9690024,,,
Guinea-Bissau,11.803749,-15.180413,8,1,,,585.2105569,,,
Equatorial Guinea,1.650801,10.267895,129,1,,,10717.48218,,,
Greece,39.074208,21.824312,217,1,,,18070.77678,,,
Grenada,12.1165,-61.679,112,1,,,9333.270231,,,
Greenland,71.706936,-42.604303,473,1,,,39569.10579,,,
Guatemala,15.783471,-90.230759,48,1,,,3923.573344,,,
Guam,13.444304,144.793731,421,1,,,35210.78883,,,
Guyana,4.860416,-58.93018,51,1,,,4160.269275,,,
"Hong Kong SAR, China",22.396428,114.109497,507,1,,,42434.66603,,,
Honduras,15.199999,-86.241905,29,1,,,2326.155856,,,
Croatia,45.1,15.2000001,140,1,,,11638.07948,,,
Haiti,18.971187,-72.285215,11,1,,,814.5463952,,,
Hungary,47.162494,19.5033041,150,1,,,12483.86594,,,
Indonesia,-0.789275,113.921327,41,1,,,3336.106686,,,
India,20.593684,78.96288,20,1,,,1596.470003,,,
Ireland,53.1423672,-7.6920536,747,1,,,62544.63129,,,
"Iran, Islamic Rep.",32.427908,53.688046,59,1,,,4862.299729,,,
Iraq,33.223191,43.679291,60,1,,,4974.02693,,,
Iceland,64.963051,-19.020835,606,1,,,50734.4436,,,
