Country,lat,lon,forestMap,Code,,forest ratio raw2015,,,
Aruba,12.52111,-69.968338,48,2,,2.333333333,,max,98.28205128
Afghanistan,33.93911,67.709953,43,2,,2.067824648,,min,0.000535997
Angola,-11.202692,17.873887,945,2,,46.40731531,,thres,20.34959562
Albania,41.153332,20.168331,574,2,,28.15693431,,,
Andorra,42.506285,1.521801,694,2,,34.04255319,,,
Arab World,33.82367,-117.960126,58,2,,2.802680075,,,
United Arab Emirates,23.424076,53.847818,80,2,,3.858851675,,,
Argentina,-38.416097,-63.616672,203,2,,9.906858285,,,
Armenia,40.069099,45.038189,238,2,,11.66139796,,,
American Samoa,-14.270972,-170.132217,1786,2,,87.7,,,
Antigua and Barbuda,17.060816,-61.796428,454,2,,22.27272727,,,
Australia,-25.274398,133.775136,331,2,,16.23875662,,,
Austria,47.516231,14.550072,955,2,,46.88389903,,,
Azerbaijan,40.143105,47.576927,281,2,,13.78367589,,,
Burundi,-3.373056,29.918886,220,2,,10.74766355,,,
Belgium,50.503887,4.469936,460,2,,22.56935271,,,
Benin,9.30769,2.315834,779,2,,38.23164243,,,
Burkina Faso,12.238333,-1.561593,399,2,,19.55409357,,,
Bangladesh,23.684994,90.356331,224,2,,10.97795191,,,
Bulgaria,42.733883,25.48583,718,2,,35.21554901,,,
Bahrain,26.0667,50.5577,17,2,,0.778210117,,,
"Bahamas, The",25.03428,-77.39628,1048,2,,51.44855145,,,
Bosnia and Herzegovina,43.915886,17.679076,869,2,,42.67578125,,,
Belarus,53.709807,27.953389,867,2,,42.54842048,,,
Belize,17.189877,-88.49765,1220,2,,59.89916703,,,
Bermuda,32.3078,-64.7505,408,2,,20,,,
Bolivia,-16.290154,-63.588653,1030,2,,50.55294009,,,
Brazil,-14.235004,-51.92528,1203,2,,59.04878358,,,
Barbados,13.193887,-59.543198,299,2,,14.65116279,,,
Brunei Darussalam,4.535277,114.727669,1468,2,,72.10626186,,,
Bhutan,27.514162,90.433601,1472,2,,72.27562505,,,
Botswana,-22.328474,24.684866,390,2,,19.12727401,,,
Central African Republic,6.611111,20.939444,725,2,,35.58701724,,,
Canada,56.130366,-106.346771,778,2,,38.16667052,,,
Central Europe and the Baltics,54.5259614,15.2551187,697,2,,34.17912313,,,
Switzerland,46.818188,8.227512,647,2,,31.73398117,,,
Channel Islands,34.1819189,-119.2291726,87,2,,4.210526316,,,
Chile,-35.675147,-71.542969,486,2,,23.8523695,,,
China,35.86166,104.195397,453,2,,22.18966958,,,
Cote d'Ivoire,7.539989,-5.54708,667,2,,32.70754717,,,
Cameroon,7.369722,12.354722,811,2,,39.80453132,,,
"Congo, Dem. Rep.",-4.038333,21.758664,1371,2,,67.3024415,,,
"Congo, Rep.",-0.228021,15.827659,1332,2,,65.39970717,,,
Colombia,4.570868,-74.297333,1074,2,,52.72802163,,,
Comoros,-11.6455,43.3333,406,2,,19.88178399,,,
Cabo Verde,16.5388,-23.0418,455,2,,22.30769231,,,
Costa Rica,9.748917,-83.753428,1099,2,,53.97571485,,,
Cuba,21.521757,-77.781167,627,2,,30.76331475,,,
Cyprus,35.126413,33.429859,381,2,,18.69047619,,,
Czech Republic,49.817492,15.472962,704,2,,34.53768454,,,
Germany,51.165691,10.451526,667,2,,32.73242198,,,
Djibouti,11.825138,42.590275,6,2,,0.241587575,,,
Dominica,15.414999,-61.370976,1177,2,,57.77333333,,,
Denmark,56.26392,9.501785,298,2,,14.57966182,,,
Dominican Republic,18.735693,-70.162651,836,2,,41.04740219,,,
Algeria,28.033886,1.659626,18,2,,0.821248331,,,
Ecuador,-1.831239,-78.183406,1029,2,,50.52295056,,,
"Egypt, Arab Rep.",26.820553,30.802498,2,2,,0.073333668,,,
Eritrea,15.179384,39.782334,305,2,,14.95049505,,,
Spain,40.463667,-3.74922,750,2,,36.81850894,,,
Estonia,58.595272,25.0136071,1072,2,,52.65392781,,,
Ethiopia,9.145,40.489673,255,2,,12.499,,,
Finland,61.92411,25.7481511,1489,2,,73.10716989,,,
Fiji,-17.713371,178.065032,1134,2,,55.67597154,,,
France,46.227638,2.213749,632,2,,31.02690679,,,
Faroe Islands,61.892635,-6.9118061,2,2,,0.05730659,,,
"Micronesia, Fed. Sts.",7.425554,150.550812,1869,2,,91.81428571,,,
Gabon,-0.803689,11.609444,1817,2,,89.26145845,,,
United Kingdom,55.378051,-3.435973,265,2,,12.99549456,,,
Georgia,32.1656221,-82.9000751,828,2,,40.61591596,,,
Ghana,7.946527,-1.023194,836,2,,41.03454338,,,
Guinea,9.945587,-9.696645,528,2,,25.89939769,,,
"Gambia, The",13.443182,-15.310139,982,2,,48.22134387,,,
Guinea-Bissau,11.803749,-15.180413,1428,2,,70.12802276,,,
Equatorial Guinea,1.650801,10.267895,1139,2,,55.90017825,,,
Greece,39.074208,21.824312,641,2,,31.45073701,,,
Grenada,12.1165,-61.679,1018,2,,49.97058824,,,
Greenland,71.706936,-42.604303,1,2,,0.000535997,,,
Guatemala,15.783471,-90.230759,673,2,,33.03471445,,,
Guam,13.444304,144.793731,943,2,,46.2962963,,,
Guyana,4.860416,-58.93018,1709,2,,83.9522479,,,
Honduras,15.199999,-86.241905,836,2,,41.04030744,,,
Croatia,45.1,15.2000001,700,2,,34.3459614,,,
Haiti,18.971187,-72.285215,73,2,,3.519593614,,,
Hungary,47.162494,19.5033041,466,2,,22.85430244,,,
Indonesia,-0.789275,113.921327,1023,2,,50.23819118,,,
India,20.593684,78.96288,485,2,,23.77311911,,,
Ireland,53.1423672,-7.6920536,224,2,,10.94527508,,,
"Iran, Islamic Rep.",32.427908,53.688046,135,2,,6.564490778,,,
Iraq,33.223191,43.679291,40,2,,1.89952109,,,
Iceland,64.963051,-19.020835,11,2,,0.490773067,,,
Israel,31.046051,34.851612,156,2,,7.624768946,,,
Italy,41.87194,12.56738,644,2,,31.60739784,,,
Jamaica,18.109581,-77.297508,631,2,,30.95106187,,,
Jordan,30.585164,36.238414,23,2,,1.09822032,,,
Japan,36.204824,138.252924,1394,2,,68.46061005,,,
Kazakhstan,48.019573,66.923684,26,2,,1.225691744,,,
Kenya,-0.023559,37.906193,159,2,,7.753803985,,,
